"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.8",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.3",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.6",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.3",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.4",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.7",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.3",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.6",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.2",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.3",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.7",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.3",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.9",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.4",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.2",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.4",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.4",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.3",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.7",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.9",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.5",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.6",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.9",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.7",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.8",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.4",""
"Underweight","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.3",""
"Underweight","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.7",""
"Underweight","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"Underweight","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.2",""
"Normal","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","Total","Total","47.0",""
"Normal","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","48.8",""
"Normal","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.6",""
"Normal","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","43.3",""
"Normal","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","51.1",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","47.0",""
"Normal","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.0",""
"Normal","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","43.4",""
"Normal","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.2",""
"Normal","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","46.4",""
"Normal","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.3",""
"Normal","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","41.9",""
"Normal","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","52.5",""
"Normal","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","49.2",""
"Normal","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.9",""
"Normal","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.3",""
